text,label,score
内容は難しい部分がありましたが、課題を通して少しずつ苦手意識がなくなりました,POSITIVE,0.9127178192138672
この授業をを通して、データの裏にある法則や仕組みを読み解き、問題解決に応用できる力が身についたと実感しました。,POSITIVE,0.9731172323226929
統計の基礎から実践的なデータ分析まで一貫して学べる、とても有意義な授業でした。,POSITIVE,0.9763827323913574
難しかった。,NEGATIVE,0.9763477444648743
データ利用について深く学べてよかった。,POSITIVE,0.9778795838356018
Googleコラボで簡易的にプログラミングが出来て、始めやすかった。,POSITIVE,0.9828055500984192
データに関する知識が増えた。,POSITIVE,0.8039992451667786
基礎的なPythonなどの使い方がわかって良かった。,POSITIVE,0.983654797077179
基礎知識が身につく。,POSITIVE,0.9331743121147156
全くわからなかった知識を習得できました。,POSITIVE,0.9771117568016052
普段関わらない内容で面白かった。,POSITIVE,0.9929929971694946
AIについて今まで知らなかったことを多く知ることができて楽しい。,POSITIVE,0.9917328357696533
これから共存していく必要があるため役に立ちました。,POSITIVE,0.7731578350067139
授業を通して、根拠としてのデータの重要性とAIの可能性を感じらことができました。,POSITIVE,0.9381734728813171
昨年履修した「AIデータサイエンスと現代社会」とは似て非なる科目で面白い。,POSITIVE,0.989881694316864
元々エクセルの基礎知識がないとすぐには理解できないと感じました。,NEGATIVE,0.8011810779571533
初めて触れる分野だったがわかりやすい解説でとても助かった。,POSITIVE,0.9875248670578003
自分の知らない記号とかを使うので難しいと感じた。,NEGATIVE,0.9791016578674316
データを扱う難しさが分かった,NEGATIVE,0.9583244919776917
プログラミングなどについて、説明が分かりやすく頭に入りやすかった。,POSITIVE,0.9403029084205627
AIやデータサイエンスの基礎が学べて楽しい。,POSITIVE,0.9908376336097717
4年の前期に単位を落としてしまっていて、卒業がかかっているので、オンラインで履修できる科目かつ自分のスキルで単位の取れる確率の高いこの科目をとりました。,NEUTRAL,0.8622006773948669
自分のペースで時間をかけながら取り組めるので理解を深めやすい。,POSITIVE,0.9762852787971497
pythonなどの普段の授業では触れない分野を学ぶ機会となった。,POSITIVE,0.9476320147514343
資料や文字が多くて取り組みにくい感じがします。,NEGATIVE,0.9914218783378601
統計学とプログラミングの復習を行うことで、データサイエンスの基礎を確認できた,POSITIVE,0.9608466029167175
EXCELでも応用できるような知識も多くあり、とても勉強になりました。,POSITIVE,0.9811086058616638
"この授業では、自分の考えを整理しながら社会の仕組みについて幅広く学べたところがよかった。
",POSITIVE,0.9824848771095276
The course is good for self-study.,POSITIVE,0.5081764459609985
この科目を通して、データ分析の基礎から応用まで体系的に学ぶことができ、とても実践的だと感じました。,POSITIVE,0.9714062809944153
情報について知ることは将来就職するうえで必要な能力だと感じたから。,NEUTRAL,0.6456624865531921
これからの時代、さらに重要になるであろうPython・SQL・AIについて学べる機会は非常に貴重なので、有意義な時間に感じています。,POSITIVE,0.9555205702781677
とても興味深かった。,POSITIVE,0.890350878238678
ドリルを何回もやり直せるのがありがたかったです。,POSITIVE,0.9827829599380493
体系的にAI・データサイエンスについて学べたので効率が良いと思いました。,POSITIVE,0.9627679586410522
"難しかった。
",NEGATIVE,0.9763477444648743
自分が所属している商学部では学べないような内容のことが学べて、面白いです。,POSITIVE,0.9902352690696716
大学以外で学べるコミュニティがないので、新鮮で楽しい,POSITIVE,0.9689390063285828
プログラムの入門にはよい授業だった。,POSITIVE,0.9824262857437134
授業でやってる内容がどのように役立つのかいまいちピンとこなかった。,NEGATIVE,0.8663668036460876
出題のミスが多いように感じたので、改善していただけると嬉しいです。,POSITIVE,0.5499504208564758
新たな知見を身につけることができた,POSITIVE,0.9841386675834656
Excelの基本やPythonの体験学習などがオンライン授業を通して手軽に学べたのがとても良かった。,POSITIVE,0.9891161322593689
基本情報者の勉強と平行して受けているためとても理解がしやすかった,POSITIVE,0.9634653925895691
授業を通して統計の基礎を実際のデータ分析で体験でき、理解が深まったと感じました。,POSITIVE,0.9763665199279785
今まで学んだことのない分野で難しかった。,NEGATIVE,0.9819790124893188
難しかったです。,NEGATIVE,0.9215440154075623
苦手意識があったパソコンの使い方を少し克服できたと思います。,POSITIVE,0.9527394771575928
初めて「データサイエンス」という言葉を見た時は、難しそうで少し抵抗感もあったが、今後社会に出た時に必ず役立つであろうExcelの基礎的なスキルを習得できる機会を得ることができて良かった。,POSITIVE,0.9842513799667358
難しいことはないながらも知識が着くいい授業だと思う,POSITIVE,0.9836734533309937
プロ言などの授業では習わない事を学べてよかった,POSITIVE,0.9767650961875916
"Excel,Pysonに関する知識やそれらの使い方について理解が深まった。",POSITIVE,0.9651786684989929
"AI experience, through phased learning, I can specifically grasp the overall picture and practical applications of data science.",NEUTRAL,0.715992271900177
とても社会で役に立つものだと感じました,POSITIVE,0.9163533449172974
かなり専門的な内容なので、動画を見るのに心の準備がいる。,POSITIVE,0.8527289628982544
"ためになった
",NEUTRAL,0.8076441287994385
この授業からExcelによるデータ活用が特に勉強になりました。,POSITIVE,0.9382472634315491
aiについてより深く知ることが出来た。,POSITIVE,0.9566496014595032
エクセルを学ぶことは、中高以降なく、中高よりも少し難しい内容で、使いこなすまでにはまだまだだなと感じた。,NEUTRAL,0.5069164633750916
AIと社会がどのように作用するか勉強二なっている,NEUTRAL,0.7162829041481018
AI・データサイエンスを学んで感じたのは、AIは勝手に正解を出す魔法じゃなく、使う側の理解力と判断力がすべてだということ。データの扱い方ひとつで結論が変わるからこそ、数字を読み解く人の力の重要性を強く実感した。,POSITIVE,0.8138978481292725
